Модель принтера,Модель картриджа,"Ресурс, копий",> 10 шт,5-9 шт,3-4 шт,1-2 шт,Замена чипа (не всегда обязательна)
HP LaserJet 4L / 4MP / 4P / 4ML,74A (92274A),3000,445,495,545,595,0
HP LaserJet 2P / 3P,75A (92275A),3500,445,495,545,595,0
HP LaserJet 4 / 4M Plus / 4Plus / 4M / 5n /5M / 5,98A (92298A),6800,545,595,645,695,0
HP LaserJet 4 / 4M Plus / 4Plus / 4M / 5n /5M / 5,98X (92298X),8800,645,695,745,795,0
HP LaserJet 4V / 4MV,00A (C3900A),8100,645,695,745,795,0
HP LaserJet 5P / 5MP / 6MP / 6P,03A (C3903A),4000,445,495,545,595,0
HP LaserJet 5L / 5M / 6L / 3100 / 3150,06A (C3906A),2500,345,395,445,495,0
HP LaserJet 5MX / 5Si / 8000MFP,09A (C3909A),15000,1045,1095,1145,1195,0
HP LaserJet 5MX / 5Si / 8000MFP,09X (C3909X),17000,1145,1195,1295,1395,0
HP LaserJet 1100 / 1100A / 3200,92A (C4092A),2500,345,395,445,495,0
HP LaserJet 2100 / 2200,96A (C4096A),5000,545,595,645,695,0
HP LaserJet 4000 / 4050,27A (C4127A),6000,545,595,645,695,0
HP LaserJet 4000 / 4050,27X (C4127X),10000,745,795,845,895,0
HP LaserJet 5000 / 5100MFP,29X (C4129X),10000,745,795,845,895,0
HP Color LaserJet 8500 / 8550MFP,C4149A,17000,2645,2695,2795,2895,0
HP Color LaserJet 8500 / 8550MFP,C4150A,8500,2645,2695,2795,2895,0
HP Color LaserJet 8500 / 8550MFP,C4151A,8500,2645,2695,2795,2895,0
HP Color LaserJet 8500 / 8550MFP,C4152A,8500,2645,2695,2795,2895,0
HP LaserJet Mopier320 / 8100MFP /8150MFP,82X (C4182X),20000,1245,1295,1395,1495,0
HP Color LaserJet 4500 / 4550,C4191A,9000,1795,1845,1945,2045,0
HP Color LaserJet 4500 / 4550,C4192A,6000,1795,1845,1945,2045,0
HP Color LaserJet 4500 / 4550,C4193A,6000,1795,1845,1945,2045,0
HP Color LaserJet 4500 / 4550,C4194A,6000,1795,1845,1945,2045,0
HP Color LaserJet 4500 / 4550,C4195A,25000,Драм-картридж не заправляется. Стоимость его замены уточните у менеджера,,,,0
HP LaserJet 1000w / 1005w / 1200 / 1220 /3300 / 3310 / 3320 / 3330 / 3380,15A (C7115A),2500,345,395,445,495,0
HP LaserJet 1000w / 1005w / 1200 / 1220 /3300 / 3310 / 3320 / 3330 / 3380,15X (C7115X),3500,445,495,545,595,0
HP LaserJet P2014 / P2015 / M2727,53X (Q7553X),7000,545,595,645,695,0
HP LaserJet 4100MFP,61A (C8061A),6000,545,595,645,695,0
HP LaserJet 4100MFP,61X (C8061X),10000,745,795,845,895,0
HP LaserJet 9000MFP / 9040MFP / 9050MFP,43X (C8543X),30000,1895,1945,2045,2145,0
